 ,Label,Area,Mean,IntDen,RawIntDen
1,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1001_NoNucleus_Ch2.tif:0607-0612,421.388,7.019,2957.612,697199
2,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1002_NoNucleus_Ch2.tif:0729-0669,536.868,6.669,3580.192,843960
3,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1003_NoNucleus_Ch2.tif:0619-0690,333.551,4.050,1350.929,318455
4,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1004_NoNucleus_Ch2.tif:0526-0616,425.613,6.170,2626.238,619084
5,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1005_NoNucleus_Ch2.tif:0643-0704,635.552,5.298,3367.283,793771
6,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1006_NoNucleus_Ch2.tif:0585-0656,369.189,5.182,1913.114,450979
7,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1007_NoNucleus_Ch2.tif:0619-0736,527.335,6.685,3525.464,831059
8,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1008_NoNucleus_Ch2.tif:0669-0648,473.244,6.883,3257.242,767831
9,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1009_NoNucleus_Ch2.tif:0749-0830,373.961,6.013,2248.666,530079
10,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1010_NoNucleus_Ch2.tif:0627-0640,443.782,5.110,2267.654,534555
11,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1011_NoNucleus_Ch2.tif:0659-0694,438.908,6.323,2775.268,654215
12,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1012_NoNucleus_Ch2.tif:0631-0628,511.215,4.863,2486.056,586039
13,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1013_NoNucleus_Ch2.tif:0555-0555,518.325,5.824,3018.856,711636
14,241002_LD444n2_HCT116_cripCMVFKBPGFPSec61b_cntlnorapac1_NoNucleus_Ch2.tif:0629-0668,333.788,4.656,1554.131,366356
